section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,50,1765440760389000657,1765440760469125657,80,800.036,703.683,0.007787542020105761,-7.718045545032097
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,51,1765440760614249657,1765440760989621657,375,858.061,407.992,3.7991450208570687,11.360632124699407
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,52,1765440761179744657,1765440761384878657,205,435.905,453.786,-23.584257332624276,8.155448606246258
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,53,1765440761545116657,1765440761765239657,220,1019.213,814.553,14.432276309641868,-14.683002308129774
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,54,1765440761825364657,1765440762050612657,225,983.682,634.464,11.86310599284354,-3.220650239838991
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,55,1765440762125611657,1765440762270742657,145,1028.864,616.997,14.760328478154385,-2.092488103245678
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,56,1765440762320860657,1765440762761231657,440,914.358,619.896,7.391454564402771,-2.2990288233880602
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,57,1765440762801234657,1765440762926355657,125,924.39,603.549,8.03559639358289,-1.24551690747313
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,58,1765440763011479657,1765440763391851657,380,890.721,399.559,5.938860548372354,11.887678303064995
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,59,1765440763436851657,1765440763561978657,125,1013.486,494.754,13.80747118520709,5.710109401277785
