section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,42,1765440757726522657,1765440757816646657,90,408.1848893811938,26.01523818276478,4570.273640978225,7196.468300196048
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,43,1765440757976770657,1765440758016769657,40,108.01193541348044,6.884703246129445,3270.976017215272,4636.151974213255
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,44,1765440758562265657,1765440758682394657,120,582.8913861803421,37.54468492068358,5332.380723199357,7324.683908345486
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,45,1765440758817513657,1765440758827516657,10,10.582376981142657,0.6784268774924758,1448.9494005728789,1459.0070521064802
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,46,1765440758967637657,1765440759027762657,60,98.96852796590039,6.348287185432814,2768.0925505038394,5370.528872051417
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,47,1765440759237884657,1765440759288009657,50,165.15179427776792,10.614951999376212,3469.7150311979813,5267.913656280615
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,48,1765440759413133657,1765440759488133657,75,129.83117826013694,8.374341941215071,2316.681722734775,3928.9207675484986
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,49,1765440759728381657,1765440759873504657,145,425.7468526935703,27.35254530156489,3627.038109473905,7061.90850099078
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,50,1765440759973629657,1765440760389000657,415,426.11678929607774,27.413516564299105,2324.4900591437186,9926.499605822972
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,51,1765440760469125657,1765440760614249657,145,526.6288322438899,33.8472720679054,5804.385131255458,11803.326785449817
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,52,1765440760989621657,1765440761179744657,190,625.7751332997891,40.01928702120465,5328.044766223411,7951.4282044556585
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,53,1765440761384878657,1765440761545116657,160,772.5482039659715,49.59580410678373,7056.895874988242,11717.880573392078
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,54,1765440761765239657,1765440761825364657,60,270.9882377744401,17.342539180019983,4616.076841146906,7499.902542875805
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,55,1765440762050612657,1765440762125611657,75,126.53052382258898,8.121665025375648,2531.0866899727075,4671.0858069287515
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,56,1765440762270742657,1765440762320860657,50,135.89766850070782,8.698276556695003,3114.1066255047185,4724.50786167949
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,57,1765440762761231657,1765440762801234657,40,125.17003295589028,8.064335741678795,3292.3174456229335,4587.066586071336
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,58,1765440762926355657,1765440763011479657,85,349.94905400220875,22.44716813350307,4542.311318350588,8318.796252571277
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,59,1765440763391851657,1765440763436851657,45,171.66133761393215,10.92469991268324,4041.2473068080194,6033.189666591935
dd8e5674-484b-4529-8035-cb158eb757b5,15500a9f-da4b-4f40-ac69-6c13e96965ca,60,1765440763561978657,1765440763647099657,85,454.8396092446938,29.04099217896555,5794.5969403869385,8878.15501083438
